id,cause_of_death,region_origin,missing,dead,incident_region,date,source,reliability,lat,lon,affected_nationality
65777,Suffocation,MENA,0.0,1.0,Europe,27/12/2015,El Siglo de Torreon,Partially Verified,51.01635195,2.39943772,Afghanistan
66177,Drowning,MENA,0.0,1.0,Mediterranean,15/02/2016,Spanish Ministry of the Interior via IOM Spain,Verified,35.99591955,-5.606000646,Algerian
66178,Drowning,Sub-Saharan Africa,2.0,0.0,Mediterranean,15/04/2016,Asociaci�n Pro Derechos Humanos de Andaluc�a (APDHA),Verified,36.71789535,-3.5289789610000004,Cameroon
66178,Drowning,Sub-Saharan Africa,1.0,0.0,Mediterranean,15/04/2016,Asociaci�n Pro Derechos Humanos de Andaluc�a (APDHA),Verified,36.71789535,-3.5289789610000004,Gambia
66178,Drowning,Sub-Saharan Africa,1.0,0.0,Mediterranean,15/04/2016,Asociaci�n Pro Derechos Humanos de Andaluc�a (APDHA),Verified,36.71789535,-3.5289789610000004,Mauritius
66182,Drowning,MENA,0.0,1.0,Europe,02/06/2016,AP,Partially Verified,46.12930146,20.05177896,Syria
66581,Drowning,Sub-Saharan Africa,57.0,0.0,North Africa,12/05/2016,Asociaci�n Pro Derechos Humanos de Andaluc�a (APDHA),Verified,27.7235891,-14.24447695,Guinea
66582,Drowning,Caribbean,0.0,1.0,Caribbean,06/06/2016,Miami Actualidad,Partially Verified,18.05921041,-67.83736398,Cuba
67379,Disease,Central America,0.0,1.0,Central America incl. Mexico,25/10/2015,60 Minutos,Partially Verified,17.99587792,-94.54755904,Guatemala
67777,Hypothermia,Central America,0.0,1.0,Central America incl. Mexico,03/06/2016,El Heroico,Partially Verified,17.266665600000003,-90.99999891,Honduras
69777,Dehydration,Sub-Saharan Africa,0.0,34.0,North Africa,11/06/2016,"Al Jazeera, AFP, BBC",Partially Verified,19.36666975,5.799996759,Nigeria
70209,Suffocation,Horn of Africa,0.0,19.0,Sub-Saharan Africa,14/06/2016,IOM Zambia,Verified,-13.03332615,27.73332744,Ethiopia
72188,Fell from train,Central America,0.0,1.0,Central America incl. Mexico,07/02/2016,Impacto Del Sur,Partially Verified,19.27837618,-99.82603780000001,Honduras
72977,Drowning,Central America,1.0,3.0,U.S./Mexico Border,14/06/2016,Desaparecidos y sin reclamar en la frontera,Partially Verified,27.60141404,-99.5627405,Mexico
73779,Fell from train,Central America & Mexico,0.0,1.0,Central America incl. Mexico,13/02/2016,Impacto Del Sur,Partially Verified,18.00558321,-94.56105984,Mexico
74177,Vehicle accident,Central America,0.0,1.0,Central America incl. Mexico,28/05/2016,Cronica Veracruz,Partially Verified,21.35458884,-98.22519677,El Salvador
74178,Hit by vehicle,South Asia,0.0,1.0,Europe,27/05/2016,Diario de Transporte,Partially Verified,50.93688014,1.952453302,Afghanistan
74980,Shot,MENA,0.0,1.0,Middle East ,16/01/2016,Syria Observatory for Human Rights,Verified,36.85925719,40.13046331,Syria
74981,Shot,MENA,0.0,11.0,Middle East ,19/06/2016,Syria Observatory for Human Rights,Verified,36.85031535,38.32958874,Syria
74982,Shot,MENA,0.0,1.0,Middle East ,24/01/2016,Syria Observatory for Human Rights,Verified,37.07278754,40.65198707,Syria
74983,Shot,MENA,0.0,1.0,Middle East ,28/01/2016,Syria Observatory for Human Rights,Verified,36.68059958,39.12036304,Syria
74984,Shot,MENA,0.0,1.0,Middle East ,04/02/2016,Syria Observatory for Human Rights,Verified,36.67529693,38.93244016,Syria
74985,Shot,MENA,0.0,1.0,Middle East ,27/02/2016,Syria Observatory for Human Rights,Verified,36.6453026,39.00474871,Syria
74986,Shot,MENA,0.0,3.0,Middle East ,11/06/2016,Syria Observatory for Human Rights,Verified,36.92510244,40.41812623,Syria
74987,Shot,MENA,0.0,1.0,Middle East ,10/03/2016,Syria Observatory for Human Rights,Verified,36.53739644,36.61185343,Syria
74988,Shot,MENA,0.0,1.0,Middle East ,11/03/2016,Syria Observatory for Human Rights,Verified,36.64530266,39.68590106,Syria
74989,Shot,MENA,0.0,1.0,Middle East ,23/03/2016,Syria Observatory for Human Rights,Verified,36.88334441,38.21092615,Syria
74990,Shot,MENA,0.0,2.0,Middle East ,05/04/2016,Syria Observatory for Human Rights,Verified,36.79500893,38.52135028,Syria
74991,Shot,MENA,0.0,1.0,Middle East ,23/05/2016,Syria Observatory for Human Rights,Verified,36.66547496,38.85693249,Syria
74992,Shot,MENA,0.0,2.0,Middle East ,20/05/2016,Syria Observatory for Human Rights,Verified,36.04118369,36.39016997,Syria
74993,Shot,MENA,0.0,1.0,Middle East ,16/05/2016,Syria Observatory for Human Rights,Verified,36.33853027,36.647559,Syria
74994,Shot,MENA,0.0,1.0,Middle East ,08/05/2016,Syria Observatory for Human Rights,Verified,36.65899535,39.31639253,Syria
74995,Shot,MENA,0.0,1.0,Middle East ,22/04/2016,Syria Observatory for Human Rights,Verified,36.29164189,36.69135757,Syria
74996,Shot,MENA,0.0,1.0,Middle East ,26/04/2016,Syria Observatory for Human Rights,Verified,36.13701496,36.38873414,Syria
74997,Shot,MENA,0.0,1.0,Middle East ,27/04/2016,Syria Observatory for Human Rights,Verified,36.72618798,37.03758869,Syria
74998,Shot,MENA,0.0,1.0,Middle East ,15/01/2016,Syria Observatory for Human Rights,Verified,36.61885396,39.55955828,Syria
75377,Shot,MENA,0.0,1.0,Middle East ,11/01/2016,Syria Observatory for Human Rights,Verified,36.9865566,40.62686646,Syria
75378,Shot,MENA,0.0,1.0,Middle East ,20/01/2016,Syria Observatory for Human Rights,Verified,36.60121572,39.817737,Syria
75380,Shot,MENA,0.0,1.0,Middle East ,26/01/2016,Syria Observatory for Human Rights,Verified,36.65852371,37.50786151,Syria
75381,Shot,MENA,0.0,8.0,Middle East ,18/06/2016,Syria Observatory for Human Rights,Verified,36.10389828,36.49110686,Syria
75382,Shot,MENA,0.0,1.0,Middle East ,06/02/2016,Syria Observatory for Human Rights,Verified,36.72899799,38.65867938,Syria
